id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7214735,Comfortable and Stylish Camps Bay Villa with Large Pool,25122328,Esta-Marita,,Ward 54,-33.96427,18.37756,Entire home/apt,7994,3,7,2018-11-27,0.17,20,328
7221641,Noordhoek- Stunning Sea and Mountains Views,37796514,Evelyne,,Ward 69,-34.10101,18.38455,Entire home/apt,3195,10,4,2018-12-30,0.11,1,31
7228723,Central Cape Towns Southern Suburbs,37848493,Camilla,,Ward 73,-34.02881,18.47129,Entire home/apt,384,1,0,,,1,0
7229311,Cocagne Earth Lodge for family of 6,37853144,Paul,,Ward 100,-34.15964,18.88336,Entire home/apt,2331,7,2,2017-01-10,0.06,1,0
7232025,Villa Arcadia,37866148,Liz,,Ward 54,-33.92999,18.38476,Entire home/apt,7350,5,0,,,1,0
7232430,"Camps B house, views, garden, BBQ, close 2 beach",5527126,Elize,,Ward 54,-33.96339,18.37461,Entire home/apt,2797,3,8,2019-02-07,0.20,14,173
7233326,Beautiful family home,37872222,Sarah,,Ward 62,-34.01297,18.43363,Entire home/apt,3497,1,0,,,1,0
7239179,Luxury 2 Bedroom Apartment,24029700,Avital,,Ward 54,-33.91695,18.39115,Entire home/apt,2002,1,5,2019-02-11,3.66,2,324
7241237,Stunning Ocean Views from Camps Bay Retreat,37913729,Olav & Elton,,Ward 54,-33.95864,18.38151,Entire home/apt,2496,3,24,2019-02-10,0.63,1,329
7247822,Sea and mountain views.,37953009,Ashley,,Ward 64,-34.12823,18.44605,Entire home/apt,987,8,2,2016-03-08,0.05,1,363
7250381,Edwardian family home with lovely views,36434348,Christelle,,Ward 77,-33.93887,18.41095,Entire home/apt,6006,3,15,2018-09-02,0.39,1,254
7250596,"Beautiful room, separate entrance",37954795,Helene,,Ward 70,-33.8805,18.60678,Private room,452,3,2,2015-12-01,0.05,1,365
7251690,Two bedroom flat,24731029,Leslie,,Ward 77,-33.93486,18.40693,Entire home/apt,686,1,1,2015-07-19,0.02,2,0
7256125,Spacious room in old Victorian Cape Town house,5488887,Janet,,Ward 57,-33.94656,18.48266,Private room,302,1,8,2019-01-04,0.21,1,288
7258983,Wake up to Palm Tree-Lined Beach Vistas at a Stunning Oasis,38004441,John,,Ward 54,-33.95463,18.38273,Entire home/apt,15001,5,3,2018-09-29,0.26,1,281
7261058,Sea Cottage: single room,36892712,Jayne,,Ward 61,-34.13918,18.33012,Private room,288,2,3,2016-03-26,0.08,2,362
7267954,"Bantry Bay,",27928499,Heidi,,Ward 54,-33.92867,18.37956,Entire home/apt,7830,7,1,2018-01-23,0.08,7,349
